NUMBER	X_IMAGE	Y_IMAGE	RA	DEC	A_IMAGE	B_IMAGE	THETA_IMAGE	ELLIPTICITY	FLUX_AUTO	FLUXERR_AUTO	MAG_AUTO	MAGERR_AUTO	KRON_RADIUS	R_EFF_PIX	R_EFF_ARCSEC	MU_EFF	SNR_TOTAL	FLUX_APER_5	FLUX_APER_10	FLUX_APER_20	FLUX_APER_40	SERSIC_N	SERSIC_RE	SERSIC_CHI2	MAG_SERSIC	MU_EFF_SERSIC	LSBG_CONF	LSBG_GRADE	FLAGS	LABEL	MATCH_INFO
343	3521.581	5550.184	21.4827434	-1.2146873	7.659	3.167	-71.969	0.5865	1.034038e+03	1.299050e+02	22.4637	0.1364	3.500	11.633	3.0594	27.1894	7.960	2.133338e+02	3.373076e+02	7.281860e+02	6.830160e+02	1.879	7.003	3.330	23.1525	26.2480	0.460	C	0	0	unmatched_122.08
344	2839.173	5583.101	21.5326077	-1.2122806	9.751	9.077	-15.053	0.0691	2.259763e+04	2.551183e+02	19.1148	0.0123	3.500	10.602	2.7882	24.5846	88.577	1.409276e+03	3.373965e+03	5.699065e+03	7.613568e+03	1.139	13.857	4.297	20.2316	24.6886	0.540	B	0	0	unmatched_236.34
345	922.788	5596.118	21.6726388	-1.2113193	9.962	4.361	-67.580	0.5623	1.080107e+03	1.753459e+02	22.4163	0.1763	3.500	12.078	3.1766	27.1365	6.160	1.371093e+02	3.812451e+02	5.687459e+02	1.143558e+03	0.902	8.957	3.735	23.1173	25.9869	0.455	C	0	0	unmatched_339.66
346	110.902	5605.822	21.7319628	-1.2106038	11.637	3.509	-65.431	0.6984	9.429821e+02	1.628197e+02	22.5637	0.1875	3.500	13.270	3.4901	27.6322	5.792	1.262855e+02	2.679580e+02	5.678612e+02	8.198181e+02	1.607	11.272	3.202	23.3328	26.7481	0.374	C	0	0	unmatched_500.67
347	2243.213	5592.293	21.5761550	-1.2116066	7.921	3.549	-22.625	0.5520	1.442932e+03	1.384747e+02	22.1019	0.1042	3.500	10.943	2.8780	26.8821	10.420	3.127311e+02	4.216471e+02	8.660701e+02	1.530282e+03	0.878	3.059	3.438	23.5763	24.9027	0.518	B	0	0	unmatched_144.15
348	6753.044	5632.930	21.2466162	-1.2086391	10.992	5.891	15.784	0.4641	4.027113e+03	1.993305e+02	20.9875	0.0537	3.500	11.623	3.0568	25.9571	20.203	3.635588e+02	1.055151e+03	1.686859e+03	2.809341e+03	NaN	NaN	NaN	NaN	NaN	0.543	B	16	0	unmatched_623.27
349	4794.713	5623.938	21.3897138	-1.2093003	7.342	6.550	-44.707	0.1079	2.742623e+04	2.569605e+02	18.9046	0.0102	4.367	10.847	2.8527	25.6377	106.733	5.664041e+02	1.312994e+03	2.516048e+03	1.259111e+04	NaN	NaN	NaN	NaN	NaN	0.586	B	0	0	unmatched_346.12
350	3295.292	5657.526	21.4992783	-1.2068448	11.206	5.433	-37.340	0.5152	7.345358e+03	2.078302e+02	20.3350	0.0307	3.500	18.232	4.7949	26.9070	35.343	6.375122e+02	8.696462e+02	1.311771e+03	3.022877e+03	0.567	3.473	4.016	22.8163	24.4225	0.611	B	0	0	unmatched_168.04
351	280.630	5690.479	21.7195601	-1.2044207	10.593	3.912	-1.647	0.6307	3.439097e+03	1.802458e+02	21.1589	0.0569	3.500	26.733	7.0309	27.6821	19.080	3.832102e+02	4.269642e+02	7.339498e+02	3.119106e+03	0.581	2.538	7.860	23.5218	24.5176	0.476	C	0	0	unmatched_489.67
352	2112.132	5720.694	21.5857325	-1.2022257	9.388	3.780	-76.949	0.5974	1.094608e+03	1.475877e+02	22.4019	0.1464	3.500	9.636	2.5342	26.8071	7.417	1.955377e+02	3.886904e+02	6.442864e+02	1.053244e+03	0.462	2.504	2.907	23.7291	24.7371	0.484	C	0	0	unmatched_172.90
